,name,gradyear
0,Yagiz Aksoy,2011
1,Saba Alimadadi,2017
2,Ouldooz Baghban Karimi,
3,Brad Bart,1996
4,Andrei Bulatov,1991
5,Sheelagh Carpendale,1992
6,Angel Chang,2015
7,Victor Cheung,2004
8,Diana Cukierman,1989
9,Toby Donaldson,1992
10,Martin Ester,1984
11,Brian Fraser,2002
12,Uwe Glässer,1987
13,Ghassan Hamarneh,1995
14,Hazra Imran,2003
15,Lawrence Kim,2013
16,Anne Lavergne,1991
17,Maxwell Libbrecht,2011
18,Jiangchuan (Jc) Liu,1999
19,Ali Mahdavi-Amiri,
20,David Mitchell,1989
21,Jian Pei,1991
22,Fred Popowich,1982
23,Anoop Sarkar,1991
24,Oliver Schulte,1992
25,Igor Shinkar,2014
26,Harinder Singh Khangura,1997
27,Andrea Tagliasacchi,2005
28,Sharan Vaswani,2012
29,Jiannan Wang,2008
30,Tao Wang,2015
31,Yuepeng Wang,2014
32,Cynthia Xie,
33,Kangkang Yin,1997
34,Alaa Alameldeen,1996
35,Matt Amy,2011
36,Greg Baker,1998
37,Steven Bergner,2003
38,Robert D. Cameron,1977
39,Bobby Chan,2005
40,Mo Chen,2011
41,Parmit Chilana,2005
42,Ryan C.N. D'Arcy,1996
43,John Edgar,1984
44,Eugene Fiume,1981
45,Yasutaka Furukawa,2001
46,Qianping Gu,1982
47,Mohamed Hefeeda,1994
48,Valentine Kabanets,1993
49,Steven Ko,1999
50,Ke Li,2014
51,Angelica Lim,2008
52,Hang Ma,2012
53,Anders Miltner,2013
54,Steven Pearce,1981
55,Jason Peng,2015
56,Janice Regan,1979
57,Manolis Savva,2009
58,Thomas C. Shermer,1989
59,Arrvindh Shriraman,2004
60,William (Nick) Sumner,2005
61,Eugenia Ternovska,2002
62,Keval Vora,2017
63,Ke Wang,1984
64,Tianzheng Wang,2017
65,Kay C. Wiese,1991
66,Xing-Dong Yang,
67,Richard (Hao) Zhang,1995
68,Ryan Shea,
